"","year","income.elasticity","energy.final.demand","region"
"399",2095,0.752,"transportation","South America_Northern"
"400",2100,0.741,"transportation","South America_Northern"
"401",2025,1.25,"transportation","South America_Southern"
"402",2030,1.25,"transportation","South America_Southern"
"403",2035,1.25,"transportation","South America_Southern"
"404",2040,1.25,"transportation","South America_Southern"
"405",2045,1.25,"transportation","South America_Southern"
"406",2050,1.25,"transportation","South America_Southern"
"407",2055,1.25,"transportation","South America_Southern"
"408",2060,1.215,"transportation","South America_Southern"
"409",2065,1.117,"transportation","South America_Southern"
"410",2070,1.009,"transportation","South America_Southern"
"411",2075,0.893,"transportation","South America_Southern"
"412",2080,0.823,"transportation","South America_Southern"
"413",2085,0.769,"transportation","South America_Southern"
"414",2090,0.712,"transportation","South America_Southern"
"415",2095,0.688,"transportation","South America_Southern"
"416",2100,0.672,"transportation","South America_Southern"
"417",2025,1.25,"transportation","South Asia"
"418",2030,1.25,"transportation","South Asia"
"419",2035,1.25,"transportation","South Asia"
"420",2040,1.25,"transportation","South Asia"
"421",2045,1.25,"transportation","South Asia"
"422",2050,1.25,"transportation","South Asia"
"423",2055,1.25,"transportation","South Asia"
"424",2060,1.25,"transportation","South Asia"
"425",2065,1.25,"transportation","South Asia"
"426",2070,1.25,"transportation","South Asia"
"427",2075,1.25,"transportation","South Asia"
"428",2080,1.25,"transportation","South Asia"
"429",2085,1.25,"transportation","South Asia"
"430",2090,1.25,"transportation","South Asia"
"431",2095,1.25,"transportation","South Asia"
"432",2100,1.25,"transportation","South Asia"
"433",2025,0.686,"transportation","South Korea"
"434",2030,0.667,"transportation","South Korea"
"435",2035,0.651,"transportation","South Korea"
"436",2040,0.637,"transportation","South Korea"
"437",2045,0.624,"transportation","South Korea"
"438",2050,0.612,"transportation","South Korea"
"439",2055,0.599,"transportation","South Korea"
"440",2060,0.586,"transportation","South Korea"
"441",2065,0.573,"transportation","South Korea"
"442",2070,0.56,"transportation","South Korea"
"443",2075,0.548,"transportation","South Korea"
"444",2080,0.537,"transportation","South Korea"
"445",2085,0.527,"transportation","South Korea"
"446",2090,0.518,"transportation","South Korea"
"447",2095,0.509,"transportation","South Korea"
"448",2100,0.501,"transportation","South Korea"
"449",2025,1.25,"transportation","Southeast Asia"
"450",2030,1.25,"transportation","Southeast Asia"
"451",2035,1.25,"transportation","Southeast Asia"
"452",2040,1.25,"transportation","Southeast Asia"
"453",2045,1.25,"transportation","Southeast Asia"
"454",2050,1.25,"transportation","Southeast Asia"
"455",2055,1.25,"transportation","Southeast Asia"
"456",2060,1.25,"transportation","Southeast Asia"
"457",2065,1.25,"transportation","Southeast Asia"
"458",2070,1.245,"transportation","Southeast Asia"
"459",2075,1.173,"transportation","Southeast Asia"
"460",2080,1.099,"transportation","Southeast Asia"
"461",2085,1.021,"transportation","Southeast Asia"
"462",2090,0.938,"transportation","Southeast Asia"
"463",2095,0.856,"transportation","Southeast Asia"
"464",2100,0.817,"transportation","Southeast Asia"
"465",2025,0.744,"transportation","Taiwan"
"466",2030,0.69,"transportation","Taiwan"
"467",2035,0.675,"transportation","Taiwan"
"468",2040,0.668,"transportation","Taiwan"
"469",2045,0.66,"transportation","Taiwan"
"470",2050,0.651,"transportation","Taiwan"
"471",2055,0.641,"transportation","Taiwan"
