"region","supplysector","tranSubsector","year","sce","base.service"
"Argentina","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",9116.28319781228
"Argentina","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",9370.93240865014
"Argentina","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",12837.7785003607
"Argentina","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",14880.8457749613
"Argentina","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",16458.1113116502
"Argentina","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",28601.0716581098
"Argentina","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",35404.805248581
"Argentina","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",53633.7722549165
"Argentina","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",64233.287862452
"Argentina","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",74454.8743160632
"Argentina","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",77078.2883384684
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",5355.17256896672
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",6717.75033766893
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",11329.8194580672
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",13149.319670846
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",15241.7546147545
"Argentina","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",15505.1916976718
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",5881.59867386612
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",7482.27382013628
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",13956.832350702
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",2010,"CORE",15761.2705808453
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",2015,"CORE",18269.4565315692
"Argentina","trn_pass_road_LDV_4W_urban","Mini Car",2021,"CORE",18291.2653747198
"Australia_NZ","trn_pass_urban","Cycle",1975,"CORE",2333
"Australia_NZ","trn_pass_urban","Cycle",1990,"CORE",2809
"Australia_NZ","trn_pass_urban","Cycle",2005,"CORE",3339
"Australia_NZ","trn_pass_urban","Cycle",2010,"CORE",3622
"Australia_NZ","trn_pass_urban","Cycle",2015,"CORE",3903
"Australia_NZ","trn_pass_urban","Cycle",2021,"CORE",4266
"Australia_NZ","trn_pass_urban","Passenger Rail",1975,"CORE",2909.31177376939
"Australia_NZ","trn_pass_urban","Passenger Rail",1990,"CORE",6579.47994893714
"Australia_NZ","trn_pass_urban","Passenger Rail",2005,"CORE",11914.5888428192
"Australia_NZ","trn_pass_urban","Passenger Rail",2010,"CORE",12476.5303719465
"Australia_NZ","trn_pass_urban","Passenger Rail",2015,"CORE",18724.4899485276
"Australia_NZ","trn_pass_urban","Passenger Rail",2021,"CORE",20696.4269288425
"Australia_NZ","trn_pass_urban","Walk",1975,"CORE",7187
"Australia_NZ","trn_pass_urban","Walk",1990,"CORE",8653
"Australia_NZ","trn_pass_urban","Walk",2005,"CORE",10286
"Australia_NZ","trn_pass_urban","Walk",2010,"CORE",11158
